LEAGUE,DIVISION,TEAM_NAME,SCHEDULE_LINK,CLUB
CPL,Boys U8 Division 1,Little Miami FC Little Miami FC 2018 Boys,https://system.gotsport.com/org_event/events/50159/schedules?team=3703473,Little Miami
CPL,Boys U8 Division 1,Cincinnati Elite FC Cincinnati Elite FC B18 Elite,https://system.gotsport.com/org_event/events/50159/schedules?team=3719809,Cincinnati Elite
CPL,Boys U8 Division 1,Lakota Futbol Club LFC B18 Red,https://system.gotsport.com/org_event/events/50159/schedules?team=3735748,Lakota FC
CPL,Boys U8 Division 1,Mercury Mercury B18 West,https://system.gotsport.com/org_event/events/50159/schedules?team=3739804,Mercury Soccer
CPL,Boys U8 Division 1,Real Soccer FC Real Soccer FC B2018,https://system.gotsport.com/org_event/events/50159/schedules?team=3781308,Real Soccer
CPL,Boys U8 Division 1,Kolping SC Kolping SC B18 Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3751052,Kolping
CPL,Boys U8 Division 1,Lakota Futbol Club Lakota FC B18 Gray,https://system.gotsport.com/org_event/events/50159/schedules?team=3735768,Lakota FC
CPL,Boys U9 Division 1,Cincy SC Cincy SC B17 Elite,https://system.gotsport.com/org_event/events/50159/schedules?team=3748685,Cincy SC
CPL,Boys U9 Division 1,Cincinnati United CUSE 17B Barcelona,https://system.gotsport.com/org_event/events/50159/schedules?team=3768021,Cincinnati United
CPL,Boys U9 Division 1,Cincinnati Elite FC Cincinnati Elite FC B17 Elite,https://system.gotsport.com/org_event/events/50159/schedules?team=3719799,Cincinnati Elite
CPL,Boys U9 Division 1,FC Storm FC Storm B17 Loveland Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3704575,FC Storm
CPL,Boys U9 Division 1,Cincinnati United CULM 17B Aston Villa,https://system.gotsport.com/org_event/events/50159/schedules?team=3741844,Cincinnati United
CPL,Boys U9 Division 1,Madeira FC Madeira FC B2017 Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3745472,Madeira FC
CPL,Boys U9 Division 2,Kings Hammer Soccer Club KHJR CINCY B17-2,https://system.gotsport.com/org_event/events/50159/schedules?team=3708222,Kings Hammer
CPL,Boys U9 Division 2,Cincinnati United CUSE 17B Chelsea,https://system.gotsport.com/org_event/events/50159/schedules?team=3768024,Cincinnati United
CPL,Boys U9 Division 2,Cincinnati United CUSM 17B Bologna,https://system.gotsport.com/org_event/events/50159/schedules?team=3741834,Cincinnati United
CPL,Boys U9 Division 2,Fairfield Optimist Soccer Club FOSC B17 Red,https://system.gotsport.com/org_event/events/50159/schedules?team=3762511,Fairfield Optimist
CPL,Boys U9 Division 2,STAR Rush Cincinnati STAR Rush B2017 Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3746861,STAR SC
CPL,Boys U9 Division 2,Kings Hammer Soccer Club KHJR NKY B17-1,https://system.gotsport.com/org_event/events/50159/schedules?team=3710391,Kings Hammer
CPL,Boys U9 Division 3,Cincinnati West CWSC B17 Academy Elite,https://system.gotsport.com/org_event/events/50159/schedules?team=3734955,Cincinnati West Soccer Club
CPL,Boys U9 Division 3,Real Soccer FC Real Soccer FC B2017,https://system.gotsport.com/org_event/events/50159/schedules?team=3781309,Real Soccer
CPL,Boys U9 Division 3,Mercury Mercury B17 Red,https://system.gotsport.com/org_event/events/50159/schedules?team=3739774,Mercury Soccer
CPL,Boys U9 Division 3,Cincy SC Cincy SC B18/17 Premier,https://system.gotsport.com/org_event/events/50159/schedules?team=3748901,Cincy SC
CPL,Boys U9 Division 3,Lakota Futbol Club Lakota FC B17 Gray,https://system.gotsport.com/org_event/events/50159/schedules?team=3749034,Lakota FC
CPL,Boys U9 Division 3,Academia De Futbol Ole Academia Ole 2017 Black,https://system.gotsport.com/org_event/events/50159/schedules?team=3768824,Academia Ole
CPL,Boys U9 Division 3,FC Storm FC Storm B17 IH Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3704597,FC Storm
CPL,Boys U9 Division 3,Cincinnati United CULM 17B Bournemouth,https://system.gotsport.com/org_event/events/50159/schedules?team=3741846,Cincinnati United
CPL,Boys U9 Division 3,NKY Gunners Athletic Club NKY Gunners Athletic Club B17,https://system.gotsport.com/org_event/events/50159/schedules?team=3666474,NKY Gunners
CPL,Boys U9 Division 3,Cincinnati United CUSM 17B Cagliari,https://system.gotsport.com/org_event/events/50159/schedules?team=3741838,Cincinnati United
CPL,Boys U9 Division 4,Cincinnati United CUSE 17B Dortmund,https://system.gotsport.com/org_event/events/50159/schedules?team=3768039,Cincinnati United
CPL,Boys U9 Division 4,Total Futbol Academy (OH) TFA B17 Premier,https://system.gotsport.com/org_event/events/50159/schedules?team=3682858,Total Futbol Academy
CPL,Boys U9 Division 4,Kings Hammer Soccer Club KHJR NKY B17-2,https://system.gotsport.com/org_event/events/50159/schedules?team=3710401,Kings Hammer
CPL,Boys U9 Division 4,FC Dayton FC Dayton B17 Elite,https://system.gotsport.com/org_event/events/50159/schedules?team=3729473,FC Dayton
CPL,Boys U9 Division 4,Cincy SC Cincy SC B17 Navy,https://system.gotsport.com/org_event/events/50159/schedules?team=3748724,Cincy SC
CPL,Boys U9 Division 4,Campbell Soccer Club (CSC) CSC U9B Willoughby,https://system.gotsport.com/org_event/events/50159/schedules?team=3752748,Campbell Soccer Club
CPL,Boys U9 Division 5,NWC Alliance Soccer Club NWC Alliance 17 (U9) Boys Chelsea,https://system.gotsport.com/org_event/events/50159/schedules?team=3717254,NWC Alliance
CPL,Boys U9 Division 5,Cincinnati United CUSE 17B Everton,https://system.gotsport.com/org_event/events/50159/schedules?team=3768044,Cincinnati United
CPL,Boys U9 Division 5,Fusion FC NKY Fusion FC B17 Green,https://system.gotsport.com/org_event/events/50159/schedules?team=3708597,Fusion FC
CPL,Boys U9 Division 5,Cincinnati United CULM 17B Crystal Palace,https://system.gotsport.com/org_event/events/50159/schedules?team=3741847,Cincinnati United
CPL,Boys U9 Division 5,FC Storm FC Storm B17 Loveland White,https://system.gotsport.com/org_event/events/50159/schedules?team=3704585,FC Storm
CPL,Boys U9 Division 5,Cincinnati Elite FC Cincinnati Elite FC B17 Gold,https://system.gotsport.com/org_event/events/50159/schedules?team=3719803,Cincinnati Elite
CPL,Boys U9 Division 5,Kings Hammer Soccer Club KHJR CINCY B17-1,https://system.gotsport.com/org_event/events/50159/schedules?team=3708217,Kings Hammer
CPL,Boys U9 Division 5,Cincinnati United CU Northwest 17B Atalanta,https://system.gotsport.com/org_event/events/50159/schedules?team=3768465,Cincinnati United
CPL,Boys U9 Division 6,Campbell Soccer Club (CSC) CSC U9B Enzweiler,https://system.gotsport.com/org_event/events/50159/schedules?team=3726948,Campbell Soccer Club
CPL,Boys U9 Division 6,Cincinnati United CUSE 17B Fiorentina,https://system.gotsport.com/org_event/events/50159/schedules?team=3768048,Cincinnati United
CPL,Boys U9 Division 6,Lord's Gym Price Hill F.C. B17/18,https://system.gotsport.com/org_event/events/50159/schedules?team=3692696,Lord's Gym
CPL,Boys U9 Division 6,Kings Hammer Soccer Club KHJR NKY B17-3,https://system.gotsport.com/org_event/events/50159/schedules?team=3710409,Kings Hammer
CPL,Boys U9 Division 6,Little Miami FC Little Miami FC 2017 Boys,https://system.gotsport.com/org_event/events/50159/schedules?team=3703484,Little Miami
CPL,Boys U9 Division 6,Madeira FC Madeira FC B2017 Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3741258,Madeira FC
CPL,Boys U9 Division 6,Cincy SC Cincy SC B17 Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3748735,Cincy SC
CPL,Boys U9 Division 6,FC Storm FC Storm B17 Loveland Black,https://system.gotsport.com/org_event/events/50159/schedules?team=3704591,FC Storm
CPL,Boys U9 Division 6,Kings Hammer Soccer Club KHJR CINCY B17-3,https://system.gotsport.com/org_event/events/50159/schedules?team=3708224,Kings Hammer
CPL,Boys U9 Division 6,Alliance Cincinnati SC ACSC B2017 Academy Gold,https://system.gotsport.com/org_event/events/50159/schedules?team=3730604,Alliance Community Soccer Club
CPL,Boys U9 Division 7,FC Dayton FC Dayton B17 Navy,https://system.gotsport.com/org_event/events/50159/schedules?team=3729483,FC Dayton
CPL,Boys U9 Division 7,Lakota Futbol Club LFC B18 Black,https://system.gotsport.com/org_event/events/50159/schedules?team=3735376,Lakota FC
CPL,Boys U9 Division 7,Cincy SC Cincy SC B17 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3748745,Cincy SC
CPL,Boys U9 Division 7,Fusion FC NKY Fusion FC B17 Black,https://system.gotsport.com/org_event/events/50159/schedules?team=3708599,Fusion FC
CPL,Boys U9 Division 7,Cincinnati United CUSM 17B Dinamo Zagreb,https://system.gotsport.com/org_event/events/50159/schedules?team=3741840,Cincinnati United
CPL,Boys U9 Division 7,Impact GFC Valhalla B17 Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3763311,Impact GFC
CPL,Boys U9 Division 8,Lakota Futbol Club Lakota FC B17 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3746567,Lakota FC
CPL,Boys U9 Division 8,Mercury Mercury B17 West,https://system.gotsport.com/org_event/events/50159/schedules?team=3739788,Mercury Soccer
CPL,Boys U9 Division 8,Total Ginga Academy Total Ginga Academy 2017/18 (OH),https://system.gotsport.com/org_event/events/50159/schedules?team=3729035,Total Ginga
CPL,Boys U9 Division 8,FC Storm FC Storm B17 IH White,https://system.gotsport.com/org_event/events/50159/schedules?team=3704601,FC Storm
CPL,Boys U9 Division 8,On Goal Passion FC Passion FC 2017B Gray,https://system.gotsport.com/org_event/events/50159/schedules?team=3672692,On Goal
CPL,Boys U9 Division 9,Eclipse FC Eclipse FC Beasts,https://system.gotsport.com/org_event/events/50159/schedules?team=3719091,Eclipse FC
CPL,Boys U9 Division 9,Fairfield Optimist Soccer Club FOSC B17 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3762516,Fairfield Optimist
CPL,Boys U9 Division 9,Lakota Futbol Club Lakota FC B17 Silver,https://system.gotsport.com/org_event/events/50159/schedules?team=3745493,Lakota FC
CPL,Boys U9 Division 9,Kings Hammer Soccer Club KHJR NKY B17-4,https://system.gotsport.com/org_event/events/50159/schedules?team=3710413,Kings Hammer
CPL,Boys U9 Division 9,Lawrenceburg Greendale Soccer Club LGSC B17 Tiger Fury,https://system.gotsport.com/org_event/events/50159/schedules?team=3767980,Lawrenceburg Greendale Soccer Club
CPL,Boys U9 Division 9,Alliance Cincinnati SC ACSC B2017 Academy,https://system.gotsport.com/org_event/events/50159/schedules?team=3730597,Alliance Community Soccer Club
CPL,Boys U9 Division 9,STAR Rush Cincinnati STAR Rush B2017 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3746870,STAR SC
CPL,Boys U9 Division 9,Kolping SC Kolping SC B17 Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3751056,Kolping
CPL,Boys U9 Division 9,Total Ginga Academy Total Ginga Academy 2017/18B,https://system.gotsport.com/org_event/events/50159/schedules?team=3750180,Total Ginga
CPL,Boys U9 Division 10,Cincinnati West CWSC B17 Academy Red,https://system.gotsport.com/org_event/events/50159/schedules?team=3735045,Cincinnati West Soccer Club
CPL,Boys U9 Division 10,Lakota Futbol Club Lakota FC B17 Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3753728,Lakota FC
CPL,Boys U9 Division 10,Independence SC ISC B17 Koking,https://system.gotsport.com/org_event/events/50159/schedules?team=3735037,Independence Soccer Club
CPL,Boys U9 Division 10,Mercury Mercury Premier 2018 Boys White,https://system.gotsport.com/org_event/events/50159/schedules?team=3768005,Mercury Soccer
CPL,Boys U9 Division 10,Taylor Creek Youth Organization TCFC Hotshots B2017,https://system.gotsport.com/org_event/events/50159/schedules?team=3753857,Taylor Creek
CPL,Boys U9 Division 10,On Goal Passion FC Passion FC 2017B Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3770896,On Goal
CPL,Division 11,Mercury Mercury B18 Red,https://system.gotsport.com/org_event/events/50159/schedules?team=3739798,Mercury Soccer
CPL,Division 11,Cincinnati United CUSE 17B Granada,https://system.gotsport.com/org_event/events/50159/schedules?team=3768053,Cincinnati United
CPL,Division 11,Elevate FC Elevate FC BU9 2017 18,https://system.gotsport.com/org_event/events/50159/schedules?team=3762988,Elevate FC
CPL,Division 11,FC Storm FC Storm B17 Loveland Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3704594,FC Storm
CPL,Division 11,Lawrenceburg Greendale Soccer Club LGSC B17 Predators,https://system.gotsport.com/org_event/events/50159/schedules?team=3767984,Lawrenceburg Greendale Soccer Club
CPL,Boys U10 Division 1,Madeira FC Madeira FC B2016 Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3743315,Madeira FC
CPL,Boys U10 Division 1,Cincinnati United CUSM 16B Bayern,https://system.gotsport.com/org_event/events/50159/schedules?team=3741804,Cincinnati United
CPL,Boys U10 Division 1,Monroe Premier FC Monroe Premier 2016 Boys Gold,https://system.gotsport.com/org_event/events/50159/schedules?team=3744952,Monroe Premier
CPL,Boys U10 Division 1,FC Storm FC Storm B16 IH Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3704633,FC Storm
CPL,Boys U10 Division 1,Kings Hammer Soccer Club KH PreElite CINCY B16-1,https://system.gotsport.com/org_event/events/50159/schedules?team=3714403,Kings Hammer
CPL,Boys U10 Division 1,STAR Rush Cincinnati STAR Rush B2016 Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3746884,STAR SC
CPL,Boys U10 Division 1,Cincinnati United CUSE 17B Arsenal,https://system.gotsport.com/org_event/events/50159/schedules?team=3768019,Cincinnati United
CPL,Boys U10 Division 1,Academia De Futbol Ole Academia Ole 2016 Black,https://system.gotsport.com/org_event/events/50159/schedules?team=3768816,Academia Ole
CPL,Boys U10 Division 2,Cincy Galaxy SC Cincy Galaxy 2016B Navy,https://system.gotsport.com/org_event/events/50159/schedules?team=3681278,Cincy Galaxy
CPL,Boys U10 Division 2,Eclipse FC Eclipse FC Lil Mambas,https://system.gotsport.com/org_event/events/50159/schedules?team=3719096,Eclipse FC
CPL,Boys U10 Division 2,Real Soccer FC Real Soccer FC B2016,https://system.gotsport.com/org_event/events/50159/schedules?team=3781310,Real Soccer
CPL,Boys U10 Division 2,Forest Hills FC Forest Hills FC B2016,https://system.gotsport.com/org_event/events/50159/schedules?team=3695979,Forest Hills
CPL,Boys U10 Division 2,FC Storm FC Storm B16 Loveland Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3704625,FC Storm
CPL,Boys U10 Division 2,Cincinnati United CUSM 17B AS Roma,https://system.gotsport.com/org_event/events/50159/schedules?team=3741833,Cincinnati United
CPL,Boys U10 Division 2,Kolping SC Kolping SC B16 Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3751060,Kolping
CPL,Boys U10 Division 2,Cincinnati United CUSE 16B Barcelona,https://system.gotsport.com/org_event/events/50159/schedules?team=3768061,Cincinnati United
CPL,Boys U10 Division 2,Cincy SC Cincy SC B16 Elite,https://system.gotsport.com/org_event/events/50159/schedules?team=3748569,Cincy SC
CPL,Boys U10 Division 3,Cincy SC Cincy SC B16 Navy,https://system.gotsport.com/org_event/events/50159/schedules?team=3748592,Cincy SC
CPL,Boys U10 Division 3,Lakota Futbol Club Lakota FC B16 Gray,https://system.gotsport.com/org_event/events/50159/schedules?team=3707415,Lakota FC
CPL,Boys U10 Division 3,Cincinnati United CU Northwest 16B Atalanta,https://system.gotsport.com/org_event/events/50159/schedules?team=3768463,Cincinnati United
CPL,Boys U10 Division 3,Lakota Futbol Club Lakota FC B17 Red,https://system.gotsport.com/org_event/events/50159/schedules?team=3668249,Lakota FC
CPL,Boys U10 Division 3,Cincy SC Cincy SC B17 Premier,https://system.gotsport.com/org_event/events/50159/schedules?team=3748671,Cincy SC
CPL,Boys U10 Division 3,Fusion FC NKY Fusion FC B16 Green,https://system.gotsport.com/org_event/events/50159/schedules?team=3708573,Fusion FC
CPL,Boys U10 Division 3,Kolping SC Kolping SC B16 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3751065,Kolping
CPL,Boys U10 Division 3,Kings Hammer Soccer Club KHPA NKY B16-1,https://system.gotsport.com/org_event/events/50159/schedules?team=3710356,Kings Hammer
CPL,Boys U10 Division 3,Cincinnati Elite FC Cincinnati Elite FC B16 Gold-East,https://system.gotsport.com/org_event/events/50159/schedules?team=3719788,Cincinnati Elite
CPL,Boys U10 Division 3,Cincinnati Elite FC Cincinnati Elite FC B16 Gold-West,https://system.gotsport.com/org_event/events/50159/schedules?team=3719794,Cincinnati Elite
CPL,Boys U10 Division 3,Madeira FC Madeira FC B2016 Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3726674,Madeira FC
CPL,Boys U10 Division 4,Cincinnati United CUSE 16B Chelsea,https://system.gotsport.com/org_event/events/50159/schedules?team=3768074,Cincinnati United
CPL,Boys U10 Division 4,Fairfield Optimist Soccer Club FOSC B16 Red,https://system.gotsport.com/org_event/events/50159/schedules?team=3762497,Fairfield Optimist
CPL,Boys U10 Division 4,Cincy SC Cincy SC B16 Orange,https://system.gotsport.com/org_event/events/50159/schedules?team=3748609,Cincy SC
CPL,Boys U10 Division 4,STAR Rush Cincinnati STAR Rush B2016 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3746888,STAR SC
CPL,Boys U10 Division 4,Cincinnati United CULM 16B Brechin,https://system.gotsport.com/org_event/events/50159/schedules?team=3741824,Cincinnati United
CPL,Boys U10 Division 4,Impact GFC Valhalla FC B16/B17 Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3752603,Impact GFC
CPL,Boys U10 Division 4,Fairfield Optimist Soccer Club FOSC Lebanon Warriors Premier B2016 Maroon,https://system.gotsport.com/org_event/events/50159/schedules?team=3762588,Fairfield Optimist
CPL,Boys U10 Division 4,Cincinnati United CUSE 16B Dortmund,https://system.gotsport.com/org_event/events/50159/schedules?team=3768066,Cincinnati United
CPL,Boys U10 Division 4,Total Ginga Academy Total Ginga Academy 2016,https://system.gotsport.com/org_event/events/50159/schedules?team=3728734,Total Ginga
CPL,Boys U10 Division 5,Kings Hammer Soccer Club KHPA NKY B16-2,https://system.gotsport.com/org_event/events/50159/schedules?team=3710359,Kings Hammer
CPL,Boys U10 Division 5,Cincy SC Cincy SC B16 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3748623,Cincy SC
CPL,Boys U10 Division 5,Cincinnati United CUSM 16B Cologne,https://system.gotsport.com/org_event/events/50159/schedules?team=3741814,Cincinnati United
CPL,Boys U10 Division 5,Cincinnati United CUSM 16B Dusseldorf,https://system.gotsport.com/org_event/events/50159/schedules?team=3741817,Cincinnati United
CPL,Boys U10 Division 5,Cincinnati West CWSC B16 Academy Elite,https://system.gotsport.com/org_event/events/50159/schedules?team=3700165,Cincinnati West Soccer Club
CPL,Boys U10 Division 5,Cincinnati United CUSE 16B Everton,https://system.gotsport.com/org_event/events/50159/schedules?team=3768076,Cincinnati United
CPL,Boys U10 Division 5,Lakota Futbol Club Lakota FC B16 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3751824,Lakota FC
CPL,Boys U10 Division 5,On Goal Passion FC Passion FC 2016B Gray,https://system.gotsport.com/org_event/events/50159/schedules?team=3672710,On Goal
CPL,Boys U10 Division 5,NWC Alliance Soccer Club NWC Alliance 16/17 (U9) Boys Arsenal,https://system.gotsport.com/org_event/events/50159/schedules?team=3717248,NWC Alliance
CPL,Boys U10 Division 6,Little Miami FC Little Miami FC 2016 Boys,https://system.gotsport.com/org_event/events/50159/schedules?team=3703488,Little Miami
CPL,Boys U10 Division 6,LSO United LSO United B16,https://system.gotsport.com/org_event/events/50159/schedules?team=3675823,LSO United
CPL,Boys U10 Division 6,Kings Hammer Soccer Club KHPA CINCY B16-A,https://system.gotsport.com/org_event/events/50159/schedules?team=3708316,Kings Hammer
CPL,Boys U10 Division 6,Fusion FC NKY Fusion FC B16 Black,https://system.gotsport.com/org_event/events/50159/schedules?team=3708579,Fusion FC
CPL,Boys U10 Division 6,Cincinnati Elite FC Cincinnati Elite FC B16 Premier,https://system.gotsport.com/org_event/events/50159/schedules?team=3719797,Cincinnati Elite
CPL,Boys U10 Division 6,Independence SC ISC B16 Hawks,https://system.gotsport.com/org_event/events/50159/schedules?team=3734336,Independence Soccer Club
CPL,Boys U10 Division 6,Mercury Mercury B16 West,https://system.gotsport.com/org_event/events/50159/schedules?team=3738860,Mercury Soccer
CPL,Boys U10 Division 6,Kings Hammer Soccer Club KHPA NKY B16-3,https://system.gotsport.com/org_event/events/50159/schedules?team=3710383,Kings Hammer
CPL,Boys U10 Division 7,STAR Rush Cincinnati STAR Rush B2016 Grey,https://system.gotsport.com/org_event/events/50159/schedules?team=3746897,STAR SC
CPL,Boys U10 Division 7,Madeira FC Madeira FC B2016 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3720254,Madeira FC
CPL,Boys U10 Division 7,Lawrenceburg Greendale Soccer Club LGSC B16 Red Hawks,https://system.gotsport.com/org_event/events/50159/schedules?team=3762347,Lawrenceburg Greendale Soccer Club
CPL,Boys U10 Division 7,Fairfield Optimist Soccer Club FOSC Lebanon Warriors Premier B2016 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3762592,Fairfield Optimist
CPL,Boys U10 Division 7,FC Storm FC Storm B16 IH White,https://system.gotsport.com/org_event/events/50159/schedules?team=3704635,FC Storm
CPL,Boys U10 Division 7,Forest Hills FC Forest Hills FC B2016 Kuhn,https://system.gotsport.com/org_event/events/50159/schedules?team=3687088,Forest Hills
CPL,Boys U10 Division 7,Inner Cincinnati SA Inner Cincinnati U10,https://system.gotsport.com/org_event/events/50159/schedules?team=3696936,Inner Cincinnati
CPL,Boys U10 Division 7,FC Storm FC Storm B16 Loveland White,https://system.gotsport.com/org_event/events/50159/schedules?team=3704627,FC Storm
CPL,Boys U10 Division 7,Kings Hammer Soccer Club KHPA CINCY B16-1,https://system.gotsport.com/org_event/events/50159/schedules?team=3708290,Kings Hammer
CPL,Boys U10 Division 8,Mercury Mercury SJB B16 Blue Jays,https://system.gotsport.com/org_event/events/50159/schedules?team=3732759,Mercury Soccer
CPL,Boys U10 Division 8,Cincinnati United CULM 16B Caledonian Thistle,https://system.gotsport.com/org_event/events/50159/schedules?team=3741831,Cincinnati United
CPL,Boys U10 Division 8,Cincy Galaxy SC Cincy Galaxy 2016B Grey,https://system.gotsport.com/org_event/events/50159/schedules?team=3752444,Cincy Galaxy
CPL,Boys U10 Division 8,Elevate FC Elevate FC BU10 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3751044,Elevate FC
CPL,Boys U10 Division 8,Lakota Futbol Club Lakota FC B16 Silver,https://system.gotsport.com/org_event/events/50159/schedules?team=3792549,Lakota FC
CPL,Boys U10 Division 8,Kings Hammer Soccer Club KHPA CINCY B16-2,https://system.gotsport.com/org_event/events/50159/schedules?team=3708305,Kings Hammer
CPL,Boys U10 Division 8,Kolping SC Kolping SC B16 Black,https://system.gotsport.com/org_event/events/50159/schedules?team=3751062,Kolping
CPL,Boys U10 Division 9,Oxford United FC(OH) Oxford United B2016,https://system.gotsport.com/org_event/events/50159/schedules?team=3748608,Oxford United
CPL,Boys U10 Division 9,Impact GFC Valhalla FC B16/B17 Grey,https://system.gotsport.com/org_event/events/50159/schedules?team=3752625,Impact GFC
CPL,Boys U10 Division 9,NWC Alliance Soccer Club NWC Alliance 2016 Boys Premier,https://system.gotsport.com/org_event/events/50159/schedules?team=3717269,NWC Alliance
CPL,Boys U10 Division 9,Campbell Soccer Club (CSC) CSC U10B Lobaugh,https://system.gotsport.com/org_event/events/50159/schedules?team=3752529,Campbell Soccer Club
CPL,Boys U10 Division 9,Cincinnati United CUSE 16B Fiorentina,https://system.gotsport.com/org_event/events/50159/schedules?team=3768085,Cincinnati United
CPL,Boys U10 Division 9,FC Storm FC Storm B16 Loveland Black,https://system.gotsport.com/org_event/events/50159/schedules?team=3704630,FC Storm
CPL,Boys U10 Division 10,Cincinnati West CWSC B16 Academy Red,https://system.gotsport.com/org_event/events/50159/schedules?team=3738859,Cincinnati West Soccer Club
CPL,Boys U10 Division 10,Kings Hammer Soccer Club KHPA NKY B16-4,https://system.gotsport.com/org_event/events/50159/schedules?team=3710387,Kings Hammer
CPL,Boys U10 Division 10,On Goal Passion FC Passion FC 2016B Blue,https://system.gotsport.com/org_event/events/50159/schedules?team=3672704,On Goal
CPL,Boys U10 Division 10,Mercury Mercury B16 West 2,https://system.gotsport.com/org_event/events/50159/schedules?team=3738876,Mercury Soccer
CPL,Boys U10 Division 10,Ohio United FC Ohio United FC B16 Academy,https://system.gotsport.com/org_event/events/50159/schedules?team=3767384,Ohio United
CPL,Boys U10 Division 10,Mercury Mercury Premier B16 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3768003,Mercury Soccer
CPL,Boys U10 Division 10,Fairfield Optimist Soccer Club FOSC B16 White,https://system.gotsport.com/org_event/events/50159/schedules?team=3762506,Fairfield Optimist
CPL,Boys U10 Division 10,Edgewood Premier FC Edgewood Premier FC B16,https://system.gotsport.com/org_event/events/50159/schedules?team=3836712,Edgewood Premier
CPL,Boys U11 Division 1,Kings Hammer Soccer Club KH PreElite CINCY B15-1,https://system.gotsport.com/org_event/events/50159/schedules?team=3714398,Kings Hammer
CPL,Boys U11 Division 1,Cincinnati United CUSE 16B Arsenal,https://system.gotsport.com/org_event/events/50159/schedules?team=3768059,Cincinnati United
CPL,Boys U11 Division 1,Cincy SC Cincy SC B16 Premier,https://system.gotsport.com/org_event/events/50159/schedules?team=3748554,Cincy SC
CPL,Boys U11 Division 1,Kings Hammer Soccer Club KH PreElite NKY B15-2,https://system.gotsport.com/org_event/events/50159/schedules?team=3714744,Kings Hammer
CPL,Boys U11 Division 1,Cincinnati United CULM 16B Aberdeen,https://system.gotsport.com/org_event/events/50159/schedules?team=3741797,Cincinnati United
CPL,Boys U11 Division 2,Lakota Futbol Club Lakota FC B16 Red,https://system.gotsport.com/org_event/events/50159/schedules?team=3701597,Lakota FC
CPL,Boys U11 Division 2,Total Futbol Academy (OH) TFA B16 Elite,https://system.gotsport.com/org_event/events/50159/schedules?team=3682873,Total Futbol Academy
CPL,Boys U11 Division 2,Kings Hammer Soccer Club KHPA CINCY B15-A,https://system.gotsport.com/org_event/events/50159/schedules?team=3708243,Kings Hammer
CPL,Boys U11 Division 2,Kings Hammer Soccer Club KH PreElite NKY B16-1,https://system.gotsport.com/org_event/events/50159/schedules?team=3714759,Kings Hammer
CPL,Boys U11 Division 2,Cincinnati United CU North 15B Elite 2,https://system.gotsport.com/org_event/events/50159/schedules?team=3741855,Cincinnati United
CPL,Boys U11 Division 2,LSO United LSO United B15,https://system.gotsport.com/org_event/events/50159/schedules?team=3700622,LSO United
CPL,Boys U11 Division 2,Cincinnati United CUSE 15B Barcelona,https://system.gotsport.com/org_event/events/50159/schedules?team=3768095,Cincinnati United
CPL,Boys U11 Division 3,Kings Hammer Soccer Club KHPA CINCY B15-1,https://system.gotsport.com/org_event/events/50159/schedules?team=3708231,Kings Hammer
CPL,Boys U11 Division 3,Monroe Premier FC Monroe Premier FC 2015 Boys Gold,https://system.gotsport.com/org_event/events/50159/schedules?team=3746085,Monroe Premier
CPL,Boys U11 Division 3,Real Soccer FC Real Soccer FC B2015,https://system.gotsport.com/org_event/events/50159/schedules?team=3781311,Real Soccer
CPL,Boys U11 Division 3,Total Futbol Academy (OH) TFA B15 Premier,https://system.gotsport.com/org_event/events/50159/schedules?team=3682887,Total Futbol Academy
CPL,Boys U11 Division 3,Inner Cincinnati SA Inner Cincinnati U11,https://system.gotsport.com/org_event/events/50159/schedules?team=3696929,Inner Cincinnati
